Filename,Description,File type
`001_overview </documents/001_overview.pdf>`_,An overview of the OxSalt care bundle.,pdf
`002_script </documents/002_script.pdf>`_,A written version of the script for the learning presentation.,pdf
`003_presentation </documents/003_presentation.pdf>`_,The Powerpoint version of the presentation and includes a soundtrack of the script.,pdf
`004_salt_Information_booklet </documents/004_salt_Information_booklet.pdf>`_,A booklet with information about salt and health.,pdf
`005_salt_content_booklet </documents/005_salt_content_booklet.pdf>`_,A booklet with information about the salt content of a range of foods. ,pdf
`006_shopping_guide_and_portion_table </documents/006_shopping_guide_and_portion_table.pdf>`_,"A 2-sided document that could be folded and carried for use when shopping. On one side is a shopping guide that indicates red, amber and green choices. On the other side is a table showing how much salt would be in a portion of a particular size. ",pdf
`007_small_reminder_card </documents/007_small_reminder_card.pdf>`_,A 2-sided reminder about salt and sodium. Can be printed out on a credit-card sized piece of plastic or cardboard. ,pdf
`008_seasoning_recipes_and_eating_out_tips </documents/008_seasoning_recipes_and_eating_out_tips.pdf>`_,A 2-sided document with seasoning recipes on one side and dining out tips on the other side,pdf
`009_shopping_list </documents/009_shopping_list.pdf>`_,A simple document that can be used to write out shopping lists and has reminders about salt on it.,pdf
`010_original_website_snapshots </documents/010_original_website_snapshots.pdf>`_,Snapshots of the original OxSalt website.,pdf
`011_food_diary </documents/011_food_diary.pdf>`_,A simple food diary that can be used if participants want to monitor their salt intake. ,pdf
`012_communications_schedule </documents/012_communications_schedule.pdf>`_,The schedule of emails and SMS text messages.,pdf
`013_communications_content </documents/013_communications_content.pdf>`_,The content of the emails and SMS text messages.,pdf
